,Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,Tissue,cell_type
4,prerank,RS,0.22463331676756473,0.8183481135315356,0.9187562688064193,0.967180308184911,1.0,134/587,24.32%,INHBA;ID4;DDR2;E2F3;UBE2E2;ADAMTS1;POLN;RHOU;SERPINE1;BCL6;CCND2;CDC34;MYC;HELLS;CCNI;KLHL15;BCL7C;TOP1MT;TFDP1;RCC1;NABP1;POLB;RBBP8;CDKN1A;POLG2;CENPS;PELI1;WEE1;PTMS;NAF1;HNRNPA1;CCNG2;SET;PKD2;TAF10;NAP1L1;DHFR;HSP90AA1;JADE3;JADE1;MAGEF1;USP51;KLF4;MEPCE;MUC1;DCUN1D3;PIM2;ACVR1B;FBXO5;CDKN3;HNRNPD;MLF1;YY1;CACUL1;RBBP6;LMNB1;CCNJ;POLE4;TENT4B;WRNIP1;PPP1R10;CDKN2C;CDK2AP1;GNL3L;ACVR1;PTEN;KHDRBS1;POLD3;GSPT1;TERF2;HMGA1;CCT2;TWNK;DCLRE1B;WIZ;HELB;DONSON;POLD2;DKC1;TP53BP1;LATS2;BRPF3;NUCKS1;ERCC6;AP5S1;ZBTB38;HDGFL2;RBMS1;ANKRD28;RFC5;HMBOX1;CCT4;CDC7;BRCA2;MN1;HSP90AB1;RPS6KB1;TP53;ERCC4;MCM6;RHNO1;PPP4R2;SHQ1;CCL2;INO80D;PAF1;CDK4;LIG1;GAR1;UBQLN4;APEX1;EIF4EBP1;NBN;RNF138;PURA;GNL3;NHP2;BARD1;NAT10;LSM11;CHD4;EID3;ZPR1;USP10;HNRNPU;CDKN2B;HNRNPC;TCP1;RNASEH1;GINS3;CGAS;CCT6A;SKP2;APC,Heart_Cell,Endothelial cell
0,prerank,OIS,0.3880075748941725,1.4578470605049392,0.001,0.001,0.001,205/768,18.61%,VEGFA;IL6;PNP;KLF4;DYRK3;ACKR3;MFHAS1;HBEGF;ZC3H12A;NFIL3;PLA2G2A;DUSP5;NPNT;CX3CL1;THBS1;GDF15;BTG2;RGS2;PLCB1;TUBA4A;HAND2;INHBA;CDKN1A;SH3BP4;NTRK3;DUSP26;PREX1;PDGFC;GADD45G;AVPI1;ID2;GPNMB;AKAP12;ID1;ERF;MAFB;FGFR1;MKNK2;C9orf72;LIF;TNFAIP3;CCL19;GADD45B;PPP1R15A;GADD45A;CD74;DDIT4;VLDLR;ST6GAL1;TSPAN13;GLA;ICAM1;SESN3;SH3RF3;CDADC1;NTRK2;AK4;CCL21;NAMPT;PRKAA2;PYCARD;SIK3;FOXO1;FZD7;GLRX;NIBAN1;ZFP36;PECAM1;MAPK8IP1;LDLR;ENG;PDGFA;RIPK1;PDK1;UBR1;STARD4;JUN;MLLT11;LBH;TNFAIP8L3;IGF2;SLC7A5;SATB1;MAPK9;BHLHE40;CFH;IDI1;USP12;ETS2;IGFBP5;PPP1CB;MAT2A;DNAJA1;BMP2;MRAS;MTURN;PIK3R3;ZFP36L1;PTPN11;CTSH;RAP2A;CDK6;PAK1;RELL1;MAP3K20;CTNS;ADRA2A;DUSP3;MYC;CAB39L;PRKAR2A;IGF1R;ZDHHC9;RGS16;PRKACB;IFRD1;CBL;TFDP2;ITGAV;PRKACA;TRIB1;FGF7;CCN1;SC5D;ANGPTL4;MAP3K5;SYNJ2BP;MAPKAPK2;PINK1;SPHK1;SESN2;DUSP1;ROCK1;TXNRD1;BMP4;FGF13;DSTYK;PLAUR;EGLN3;RIPK2;HMGCS1;IQGAP1;MAP3K2;PDCD4;ERN1;ROCK2;YWHAZ;SLC1A5;TFRC;PRXL2C;JUP;SIRT1;SHC1;RRAS;TMEM176A;VHL;SORD;SP1;ANGPT1;RPS6KB1;TNRC6C;SYAP1;GSK3A;PGM1;MAPK10;HIPK3;CSNK1A1;PHLPP1;PTPN3;EIF4EBP2;PAK4;MAPKBP1;SMCR8;MAP3K3;KRAS;ZFP36L2;SLCO3A1;IL33;MAPKAPK3;DEPDC5;HRAS;CDKN2D;MAP3K8;USP9X;WAC;TMEM176B;GFPT2;LARP1;ATP2A2;PITPNB;GPR155;FBXW7;CAV2;MAP2K2;HIPK2;VWA5A;G6PD;SMAD4;TAOK1;RABGAP1L;TMEM127;GNA12;DAG1;RANBP9;UNG,Heart_Cell,Mural cell
1,prerank,Common,0.3083763055863713,1.1758627031966904,0.001,0.0825330132052821,0.146,606/2782,20.17%,NR4A3;PRC1;CASP9;VEGFA;CDKN1C;IL6;CH25H;KCNMA1;KLF4;MN1;DYRK3;UAP1;TMEM131L;CHMP4C;NR4A2;PLK2;GPC3;ACKR3;MFHAS1;METRNL;HBEGF;ZC3H12A;PLA2G2A;RYR2;KLF2;PTGIS;RBM24;WFDC2;CX3CL1;THBS1;ADARB1;CRLF1;ZBTB7C;IER3;GDF15;BTG2;MYOZ1;IL6R;CD34;HAND2;CLU;DMTN;INHBA;CDKN1A;SH3BP4;RAB3A;IRS2;TNC;SMAD7;HSPA6;PCDH7;EGR1;ENPP4;JMY;DGKG;IER5;DNAJA4;NFKBIZ;CBX4;MXD1;VPS37B;ID2;CXCL2;GPNMB;FCGR2A;BAG3;HSPH1;ID1;KLHL15;ERF;ATF3;MAFB;TP53INP2;REL;POLB;OGN;C9orf72;PDK4;CCN3;MT1G;CNN1;TRIM72;ARG2;HSPA2;HIPK1;BCL2;LIF;CDC14B;TNFAIP3;CCL19;IGHMBP2;PPP1R15A;NMB;DPYSL3;GADD45A;WTIP;MYH10;RANBP2;CRY2;FNDC4;DNAJB9;IRF1;SPEG;CD74;DDIT4;VLDLR;ATOH8;SCARA3;UBE2S;ST6GAL1;THBD;CHMP1B;TENT5B;TAF5L;WEE1;HSPB8;ICAM1;SAP30;FBLN5;TRIM7;SESN3;KDM6B;SH3RF3;ADAMTS1;NTRK2;TLE3;SOCS3;NFATC1;AK4;RHOB;ARHGEF10L;CRYAB;TOB1;CCL8;DNAJB1;ITPK1;CCL21;NOL3;SLC7A2;PTPN14;MYLK;CCNH;EIF4A3;NAMPT;PDE4B;PRKAA2;CYSLTR1;ST3GAL1;ADM;CD82;PYCARD;ODC1;USP36;FOXO1;CPEB2;YBX3;SLC38A1;FYCO1;FZD7;GATA6;BRSK2;MT1A;PPP1R15B;GLRX;ATP2B4;KCNJ2;FCMR;LDOC1;GMPR;NIBAN1;ZFP36;HSPA1A;HSPA1B;NABP1;GABARAPL1;ZC3HAV1;CKS2;CSRP1;AGAP3;ENTPD1;PRKAR1B;LDLR;MYOCD;PDGFA;GTF2B;RIPK1;PDK1;FOS;FOXN3;RASA3;AR;ADCY9;JUN;EPB41;STK24;PRLR;SLC7A5;HLA-DRB1;SLC25A23;MAPK9;KLF9;CFH;NET1;AVEN;JUNB;HSPB7;SAV1;ETS2;IGFBP5;GATA4;TWSG1;DNAJA1;BMP2;PVR;GBP2;PPP2R5A;SRF;ADAM15;VGLL4;FOXK2;OXSR1;MT1M;GPX3;HNRNPU;PIK3R3;TOB2;ZFP36L1;KLF6;PTPN11;LATS2;CFD;SMARCD3;MCL1;CTBP2;DLG3;HSPG2;VCAM1;F8;NDRG1;DNAJB4;CDK6;PAK1;TLK2;LGR4;CLIP1;IL4R;MAP3K20;SDC4;PIK3C2A;MT1X;TADA2B;FABP3;TPM1;STXBP1;TIFA;ACTN1;CCNY;ADRA2A;DEPP1;PABPC4;ST6GALNAC4;TAF10;SOCS2;USP38;MTRNR2L1;SOD3;MYC;HLA-E;WDR45B;CEBPD;PRKAR2A;MEIS2;KRT18;IGF1R;ZDHHC9;RGS16;PURA;PLAAT4;PRKACB;PLXNB1;CBL;MT1F;HSP90AA1;PARD6A;WNK1;TFDP2;CHORDC1;ITGAV;BMPR2;CD55;FRZB;KAT2B;PTPRM;RNF169;AKT3;OTULIN;WWC2;SLC25A4;PAFAH1B2;PRKACA;GNAS;AHNAK;TRIB1;MACF1;ECRG4;FGF7;PELI3;ALPK1;KANK1;TRIM38;PLPP1;ADCY1;ING1;FOXC2;RRM1;CREB3L2;EXOC8;EEF1A1;SMARCC1;NLRP1;YAP1;STX2;PKD2;ANGPTL4;MAP3K5;SYNJ2BP;USP13;DDX6;ZNF503;EMD;MAPKAPK2;NPLOC4;PINK1;PPARD;KMT5A;MGST2;SKI;YTHDF3;MTRNR2L8;TCF7L2;KIF1B;ITIH4;SPHK1;MCAM;SESN2;TPT1;USP25;SNAI1;KANK2;ROCK1;DIPK2A;FLNA;NINJ1;SOD2;TXNRD1;YES1;BMP4;DSTYK;PRNP;POM121;PLAUR;EGLN3;PDK3;CPEB4;RIPK2;ZBTB4;MON1B;WWC3;NECTIN1;PPARA;CEBPB;ASS1;HELB;DYNLL2;PPP1R14B;SERPINB9;PPP4R3A;PDCD4;RAB33B;YME1L1;ERN1;RAP2B;ROCK2;BRD4;YWHAZ;ABCB10;CSDE1;CLOCK;KRT8;FAM168A;ITGB5;DNAJB5;HEXIM1;TFRC;VEGFB;SIRT1;RBPMS;PPP2CB;MYL9;CPT1A;SHC1;GGCX;N4BP1;RBBP6;CABIN1;SMARCD2;VHL;ZFAND1;NFIA;PBRM1;TSKU;SIAH2;CRIP1;PPP1R10;HDGFL2;ARIH1;HILPDA;CGAS;OPTN;ABHD17A;NUP58;SET;TLN1;NDEL1;SP1;FBXO45;ANGPT1;BCL2L2;CLASP2;RNASE1;RAB3GAP2;MTR;JAK2;RPS6KB1;TNRC6C;CLASP1;KPNA4;MMS22L;MARK4;INPP5F;TRAF5;ANAPC15;TSC22D1;NFKB1;TRIM26;PLEC;MED1;UBXN2B;DGKD;GSK3A;KDM4A;DYRK1A;ALKBH5;ATG7;MAPK10;ZCCHC3;HIPK3;DDX3X;MT1E;PHLDB2;CSNK1A1;HDAC4;FZD3;PGF;PAK4;MAPKBP1;NEDD4;S1PR3;TNFRSF12A;DYRK2;RAB23;VEZF1;SMCR8;WFS1;NUP98;MAN1A2;CCNT1;SUV39H2;SPIRE1;AMD1;PIAS1;PER2;PDPK1;ZFP36L2;URI1;HSPB6;IL33;CREB3;MAPKAPK3;FBXO44;DEPDC5;RNF10;TSC22D3;KAT6A;HRAS;LGALS8;CDKN2D;BECN1;ATP6V0E2;SIVA1;MAP3K8;USP9X;WDR76;FOXO4;YBX1;BNIP3L;WAC;ANP32B;AKAP1;DUOX1;TJP1;PLEKHF1;KIF5B;CCL2;LARP1;ATP2A2;PTMA;GALNT1;ABL2;SELENOK;DCLRE1B;NFE2L2;GNAQ;FBXL4;SMCHD1;GPR155;C19orf12;FBXW7;FAM120A;BTRC;NEK7;CAV2;MAP2K2;HIPK2;TP53INP1;MSH3;HNRNPD;G6PD;FER;SMAD4;MYOF;TAOK1;ZBTB38;STAT5B;DYNC1LI2;VPS13A;BOD1L1;PRKG1;TMEM127;TIMM23;BACH1;MEIS1;GNA12;DAG1;EIF3A;SLFN11;GBP4;PLA2R1;UNG;YY1;NFIB;SLC25A14;LMNA;UBE2V1;SNX7;BTG1;HSPB1;ZBTB7A;MBTD1;PDGFB;DGKH;FLYWCH1;BFAR;PDK2;RNF41;XBP1;ERO1A;TRAF3IP1;RRM2B;ARHGAP35;VCL;PUM1;MALT1;STK38L;PTTG1;RNF7;RBBP8;DNAJC18;NOTCH2;BCL7C;PJA2;VAPB;NACC2;HSPD1;EIF4E3;FSTL1;RNF115;MAP2K6;FTL;MAPKAP1;TOMM7;PHF10;MAN2A1;E2F3;TAF1;EPG5,Heart_Cell,Mural cell
2,prerank,MS,0.2885058848571836,1.0936134574992835,0.115,0.23642790449513137,0.499,232/1359,17.44%,TIPARP;NR4A3;VEGFA;CDKN1C;IL6;KCNMA1;MN1;GPC3;ACKR3;ZC3H12A;NFIL3;PLA2G2A;RYR2;PTGIS;THBS1;IER3;PRDM16;CCN5;CXXC5;TGM2;CLU;CDKN1A;PIGA;ATP1B1;FOSL2;IRS2;MAFF;EGR1;JMY;DGKG;PGAM2;AKAP12;HSPH1;ATF3;TP53INP2;PDK4;PGAP1;BCL2;SORBS1;TNFAIP3;PPP1R15A;WTIP;CD74;PPP1R3C;DDIT4;VLDLR;MRAP2;DTNA;CYCS;SRPX;KCNB1;SAP30;SESN3;S100A4;AK4;HACD1;NOL3;APOOL;SERAC1;PRKAA2;ADM;EFNA1;PYCARD;ODC1;PRKAG2;FOXO1;CPEB2;CES2;SDC3;GATA6;OCIAD2;GLRX;STARD10;ZFP36;HSPA1A;HACD4;GABARAPL1;PFKFB3;MAOA;MAOB;LDLR;MYOCD;PNRC1;PDK1;FOS;AKR1C1;JUN;MLLT11;STK24;TNFAIP8L3;IGF2;BHLHE40;IDI1;PGM2;OSBP;MAT2A;BMP2;SRF;FOXK2;PLPP3;PIK3R3;ZFP36L1;KLF6;MCL1;NDRG1;ABHD2;TMEM70;PAK1;AGTPBP1;SDC4;INMT;PIK3C2A;FABP3;PIP5K1C;MYC;CAB39L;WDR45B;IDE;ACP6;PLAAT4;HSP90AA1;GPC1;BMPR2;KAT2B;NDUFA4;AKT3;SLC25A4;PAFAH1B2;PRKACA;CCN1;CES1;PLPP1;MXI1;FADS3;MT-ND6;ANGPTL4;MAP3K5;PITPNM1;PINK1;PPARD;KMT5A;SESN2;TPST2;DUSP1;NDST1;KANK2;GLUL;SOD2;AKR1C2;LPIN2;MTRF1L;PLAUR;EGLN3;PDK3;CPEB4;IDH2;PIP5K1B;ECI2;HMGCS1;PPARA;CAVIN1;ABHD5;YME1L1;GPCPD1;ROCK2;YWHAZ;KHK;OTUD3;IDS;EXT1;TFRC;PRXL2C;VEGFB;SIRT1;PYGB;MT-CO1;MT-ATP8;CPT1A;VHL;PCBD1;LCLAT1;SIAH2;RAB29;MT-ND1;HILPDA;CSRP2;PHYH;BCL2L2;HSDL2;ECI1;PPP1R3B;RPS6KB1;PYGL;STARD7;BCKDHB;COX20;MT-ND5;DGKD;GSK3A;ALKBH5;ATG7;FAM107A;PGM1;MT1E;CSNK1A1;HDAC4;PGF;PAK4;JMJD6;OAT;DYRK2;TTC19;CDS2;SUV39H2;SPIRE1;PER2;SLC27A3;SYNJ2;DEPDC5;SDC2;MT-CYB;BECN1;BNIP3L;PYGM;GFPT2;LARP1;COX18;PITPNC1;MT-ND4;ALDH3A2;NFE2L2;IRS1,Heart_Cell,Mural cell
3,prerank,TIS,0.2479482846402633,0.9394085535493485,0.742,0.9481292517006802,0.995,168/987,19.12%,RRAD;CASP9;PNP;KLF4;PLK2;ACKR3;HBEGF;ZC3H12A;RBM24;THBS1;IER3;BTG2;CLU;CDKN1A;IER5;MXD1;VPS37B;DCUN1D3;KLHL15;ATF3;RNF19B;MKNK2;POLB;HIPK1;BCL2;LIF;CDC14B;IGHMBP2;PPP1R15A;GADD45A;CRY2;CD74;DDIT4;TAF5L;SOCS1;S100A4;RHOB;CRYAB;TOB1;PTPN14;CCNH;PDE4B;CD82;PYCARD;CYFIP2;FOXO1;CES2;GATA6;NABP1;PDGFA;GTF2B;RIPK1;FOS;FOXN3;AKR1C1;SAT1;JUN;NET1;AK1;TSPYL2;GATA4;BMP2;MFAP4;DNTTIP2;ZFP36L1;SMARCD3;MCL1;NDRG1;GUK1;PAK1;TLK2;MAP3K20;TADA2B;TAF10;MYC;FZD1;RGS16;WNK1;KAT2B;PTPRM;RNF169;SLC19A2;RRM1;SMARCC1;NLRP1;YAP1;MAPKAPK2;NPLOC4;KMT5A;SPHK1;POLR2A;SESN2;TPT1;SNAI1;NINJ1;FGF13;POM121;ZBTB4;NME4;HELB;PPP4R3A;RAP2B;CLOCK;FAM168A;HEXIM1;TFRC;SIRT1;DCTN4;ZBTB16;N4BP1;RBBP6;SMARCD2;GM2A;PBRM1;CRIP1;PPP1R10;HDGFL2;CGAS;SP1;FBXO45;TAF13;BCL2L2;MMS22L;ALDH2;TRAF5;TSC22D1;KDM4A;DYRK1A;ALKBH5;NEDD4;CMBL;DYRK2;SLC35D1;SPIRE1;PIAS1;URI1;MAPKAPK3;HRAS;CDKN2D;USP9X;WDR76;WAC;ALYREF;PITPNC1;DCLRE1B;SMCHD1;FBXW7;HIPK2;BCAM;MSH3;VWA5A;MXD4;TAOK1;ZBTB38;BOD1L1;BACH1;CCP110;SLFN11;PLA2R1;UNG;YY1;LMNA;UBE2V1;BTG1;ZBTB7A;MBTD1;TPMT;FLYWCH1,Heart_Cell,Mural cell
4,prerank,RS,0.21340426809753443,0.7975527900012023,0.9468937875751503,0.9805922368947579,1.0,90/543,20.87%,KLF4;MN1;ID4;PLK2;PLCB1;KCNA5;INHBA;CDKN1A;ID2;GPNMB;DCUN1D3;KLHL15;USP37;POLB;BCL2;NAF1;CTDSPL;WEE1;ADAMTS1;CCNH;ATP2B4;NABP1;MEPCE;CDK2AP2;MLF1;JADE1;CCNI;TSPYL2;HNRNPU;LATS2;SMARCD3;CDK6;FHL1;TAF10;MYC;PURA;HSP90AA1;RNF169;DDR2;RRM1;SMARCC1;PKD2;KMT5A;POLR2A;KANK2;HELB;PAF1;RBBP6;CABIN1;SMARCD2;PBRM1;PPP1R10;HDGFL2;CGAS;SET;TENT4B;RPS6KB1;MMS22L;FAM107A;DDX3X;PIAS1;CDKN2D;CACUL1;WAC;CCL2;DCLRE1B;SMCHD1;FBXW7;NEK7;HNRNPD;ZBTB38;BOD1L1;NAP1L1;SLFN11;PLA2R1;YY1;YLPM1;MBTD1;CHRAC1;RRM2B;RBBP8;BCL7C;PHF10;E2F3;TAF1;CDC73;ELOC;ZPR1;ANKRD17;USP7,Heart_Cell,Mural cell
0,prerank,OIS,0.3641767812839605,1.109935505286164,0.177,0.5593118623724745,0.492,102/570,16.19%,TNNT2;FGF12;NPPA;ERBB4;NIBAN1;SLCO3A1;FBLN1;NRXN1;ID1;TNFRSF19;PRRX1;UBA52;SPARCL1;PDGFRB;FN1;LPAR1;UBB;PLA2G5;GAPDH;ENG;EZR;PECAM1;TPI1;GSTP1;GFPT2;PLA2G2A;IGF1R;PRDX1;HSPA5;TNIK;HDAC9;CTSC;RPS27A;CFL1;ALDH1A2;CPE;SOD1;THBS1;SPRY1;CALR;BTG2;PFN1;AKAP13;LAMTOR5;NEK10;RPS6;ATP2A2;SH3RF2;PLCG2;ETV1;SPRED1;TIAM1;RABGAP1L;ID2;EPHA4;CD81;CD44;PELI1;APP;ITGAV;PSMD13;TFPI;ADAM9;SASH1;SH2B3;MYDGF;FGF7;PDGFD;ETS1;ANKH;IL15RA;XBP1;ARF1;EDEM1;MBIP;ARMH4;MEF2C;CBR4;CNKSR3;APOE;IGFBP5;CFH;NGF;DHFR;SPRY2;ZFP36L1;RPN1;SC5D;ZFP36L2;PJA2;EGLN3;CD36;SESN1;ADD3;GADD45A;NAIP;CCND2;CCN1;CDK6;CANX;HSPA4;PPIA,Heart_Nuclei,Adipocyte
1,prerank,RS,-0.17038896151544497,-1.0356637983451975,0.001,0.001,0.001,101/371,24.75%,POLN;AKT1;TEP1;TNKS1BP1;HLTF;RNF126;PRIMPOL;MRE11;INTS3;ASCC2;ANKRD28;KMT5A;PKD1;TFDP1;SHMT1;DKC1;SMG5;APEX1;PRMT2;TAF1;RAD50;POLD2;BCL7C;STOX1;BCL2;TERF1;PBRM1;NVL;PDS5A;SMARCB1;BRCA1;SMARCA5;MNAT1;ARID1A;BOD1L1;INO80E;POLG2;POLD3;MGME1;SMARCC1;MAPKAPK5;RAD17;ZRANB3;PSMA1;CCT2;EIF4EBP1;ORC5;MCM9;RFC1;SPIDR;LATS1;RPTOR;EP400;TRRAP;ATRX;SMARCC2;TP63;POGZ;DOT1L;SMARCA2;PHF10;ZSWIM7;AMBRA1;PPP6C;KDM1A;CSNK2A1;PML;WDR33;TEFM;UBE2E2;PPP4R2;RCC1;ACVR1;FBXO7;NSMCE4A;NSMCE2;MDM2;DHX9;UPF1;BRD8;CUL2;BRD9;GTPBP4;CUL5;EXOSC10;MBTD1;MAPK1;ORC2;UCHL5;PTEN;MAP2K7;SSBP1;HIRA;CHD4;MME;RBL2;PRKDC;PPP3CA;ZNF655;STXBP4;CDC73,Heart_Nuclei,Adipocyte
2,prerank,Common,0.3257332266587479,0.9986574745875385,0.507,1.0,0.939,319/1912,16.69%,RYR2;ANKRD1;FHL2;MB;SLC25A4;TPM1;CDH13;ERBB4;MLIP;SERPINE2;CRYAB;NIBAN1;A2M;MYL12A;TIMP1;B2M;IGFBP7;PTGIS;FBLN1;DPF3;CST3;HLA-B;ID1;PCDH7;ACTG1;IER3;HLA-C;HLA-A;CCL2;UBA52;CYP1B1;CD59;HLA-E;FN1;MYL9;DPYSL3;PRKG1;LRFN5;PACRG;IFITM3;LPAR1;UBB;CHCHD2;PDE4B;TMSB4X;BSG;PLA2G5;FAU;TSC22D1;GAPDH;COL4A3;MGAT5;ANO5;ABCC9;TUBB;SULF1;FBLN5;VWF;TMEM67;USP28;PDK4;DST;FTL;ACTB;DGKH;GSTP1;TXN;PLA2G2A;DYNC1I1;TPT1;HSPB7;IGF1R;PRDX1;CFD;IL4R;HSPA5;GRK5;PTX3;TNIK;DCN;HDAC9;RPS27A;CFL1;PAM;MBP;ALDH1A2;RPL30;CD55;DAD1;RPS3A;RPS27;TOMM7;SOD1;THBS1;PXN;SCN7A;SELENOP;PROS1;S100A10;PPARGC1A;CALR;PCBP1;MYH9;EEF1A1;RPS19;NOX4;SFRP1;BTG2;MT1M;CLU;NCOA4;SERPINE1;C3;S100A11;LAMTOR5;MT1E;PRNP;PLEC;F5;TMEFF2;RBM47;SAA1;ATP2A2;NDRG1;CTSL;RASAL2;SH3RF2;FTH1;TAPBP;LGALS1;TNFRSF12A;RELB;LARGE1;PLCG2;FYCO1;SERPING1;GSN;PSAP;CEBPD;FLNA;PRKAR1A;TRIM55;ST6GALNAC3;IL1R1;CALM1;PTMA;MFN2;SPRED1;FBXO3;SGMS2;HMOX1;HSPA8;MT2A;RPL13A;ID2;MT1X;TWSG1;NACA;CUL4B;EPHA4;MT1A;VCL;SOD2;CD81;GATA4;NDUFB4;NMB;CD44;PELI1;APP;SLC12A6;LGALS8;ITGAV;DDAH1;ADM;PSMD13;NR2F2;ZNFX1;GABARAPL1;TFPI;ADAM9;HSPB1;ACAA2;AXL;SH2B3;REL;PARP9;HES1;FYN;GHITM;CD47;EYA1;LAMP1;VSIR;ILK;MEIS1;LRP4;AGBL5;ADCY9;CDKN1C;MYDGF;FGF7;RPSA;ALKBH5;AHR;GCLM;WIPI1;SELENOS;MYOF;NFKBIZ;SLC12A2;ABI2;KDM6B;ETS1;DYNLT1;IFI16;TMEM59;RPS27L;SAMHD1;RARRES1;NFKBIA;SDC4;AKT3;IL15RA;XBP1;PSMA7;STAT1;CD38;ZBTB38;TRIM8;RPS3;KLF6;MAP1LC3B;EDEM1;KLF9;UAP1;MGST2;GATA6;MAGED1;YWHAQ;HELQ;DPF2;ARMH4;MEF2C;NFKB1;HSPB8;FSTL1;HNRNPA0;APOE;IGFBP5;WRNIP1;JUNB;NABP1;UBA5;VEZF1;CFH;NGF;DHFR;LMAN1;CDK16;YBX1;WDR81;SEC61B;SPRY2;ZFP36L1;RNF115;TMBIM6;SET;EPAS1;ZFP36L2;BTG1;LAMP2;PJA2;EGLN3;NCK2;TUBB4B;CD36;FUNDC2;HMGN2;TXNDC12;GGT7;ITGA5;SPCS3;SESN1;SPARC;LOXL2;TAF7;GADD45A;ATP2B1;HSP90AB1;CNOT7;DERL1;PARP1;NAIP;PIP4K2A;FAM162A;CCND2;SMARCE1;TWIST1;CDK6;CTBP2;CANX;AUP1;HDAC5;HSPA4;UBASH3B;PPIA;PTTG1IP;ENY2;PLPP1;NEK7;COL3A1;LGALS3;SOCS3;EPG5;PDIA6;DNAJC10;UBE2N;ING3,Heart_Nuclei,Adipocyte
3,prerank,MS,0.31395817708646623,0.9554987369778143,0.696,0.9055144362205775,0.986,179/909,17.85%,RYR2;TECRL;SLC25A4;ERBB4;INPP4B;UQCRB;PTGIS;IER3;NDUFA4;COX7A1;CYP1B1;CHCHD2;PLA2G5;UQCRQ;NDUFA1;GAPDH;COX17;COX7C;COX7B;TPI1;PDK4;UQCR10;DGKH;GSTP1;GFPT2;ABHD2;PLA2G2A;COX5B;HSPA5;COX7A2;DCN;ATP5PF;COX6B1;PAM;DTNA;COX4I1;PIP5K1B;TOMM7;ATP5F1D;THBS1;COX6C;S100A10;IDS;PPARGC1A;MYH9;ATP5PD;SFRP1;NDUFB5;ATP5F1E;CLU;SERPINE1;LAMTOR5;MT1E;PNRC1;CYCS;NDUFS5;MT-CO1;ISCU;NDRG1;LGALS1;MT-ATP6;LARGE1;MT-ND2;TGM2;ATP5MC3;NDUFB7;MT-ND4;NDUFAB1;MFN2;SGMS2;HMOX1;HSPA8;MT2A;NDUFB1;EPHA4;SOD2;MT-CO3;MT-CYB;NDUFB4;APP;PGAM1;UQCRC1;DDAH1;ADM;GABARAPL1;ACAA2;UGDH;NDUFA5;PTDSS1;ALAS1;GHITM;MRPL41;ATP5MG;AGTPBP1;MT-CO2;CDKN1C;NDUFB2;PTGES2;ALKBH5;KDSR;LCLAT1;RBPJ;PGAP1;WIPI1;NOCT;SELENOS;FIS1;DBI;ATP5F1B;ETS1;IFI16;SLC25A3;RPE;SDC4;AKT3;NDUFB9;XBP1;POLR2F;ATP5MC2;HADHB;SERINC1;MT-ND6;KLF6;MAP1LC3B;PRDM16;KLF7;MT-ND1;GATA6;NDUFS6;COX5A;CBR4;NDUFS8;WDR81;SLC25A51;ZFP36L1;TMBIM6;EPAS1;BTG1;LAMP2;CES1;EGLN3;PIGF;CD36;CYC1;MT-ND5;COX7A2L;TUFM;SESN1;KLHL24;PITPNC1;OXA1L;LOXL2;AURKAIP1;PLD1;CPNE3;PARP1;PIP4K2A;FAM162A;CCN1;TWIST1;MRPS34;MDH2;PLPP1;MXI1;MT-ND3;ISCA1;CHCHD10;LEPR;PDIA5;PHB2;ZFP36;MTCH1;NDUFS7;HACD1;MDH1;IFNAR1;MT-ATP8;ATP6V1G1;LMNA,Heart_Nuclei,Adipocyte
4,prerank,TIS,0.24912027104083392,0.7571762046932722,0.978,0.9837967593518704,1.0,88/632,16.88%,ANKRD1;CDH13;CRYAB;TIMP1;DPF3;IER3;TM4SF1;UBA52;CYP1B1;UBB;PDE4B;TSC22D1;COX17;USP28;ACTB;GSTP1;RPL36;TPT1;RPS12;RPS27A;EIF1B;RPL18;DAD1;THBS1;S100A10;BTG2;CLU;ISCU;NDRG1;SPRED1;HMOX1;CUL4B;CD81;GATA4;CD44;PELI1;STOM;APP;GTF2A2;POLR1C;PARP9;EYA1;PLXNB2;ALKBH5;TMED2;AHR;ZMAT3;GCLM;ABCC4;IFI16;RPS27L;SAMHD1;ABCC5;PSMA7;POLR2F;CD38;ZBTB38;RPS3;HINT1;GATA6;TGFBR2;HELQ;DPF2;MEF2C;WRNIP1;POLR2L;NABP1;DGUOK;KCNQ1;ZFP36L1;BTG1;DCXR;SESN1;PITPNC1;TAF7;GADD45A;EDF1;PARP1;FAM162A;CCND2;SMARCE1;TWIST1;PTTG1IP;ENY2;UBE2N;ING3;RACK1;UACA,Heart_Nuclei,Adipocyte
