,Term_cat,Term,Term_id,geneSymbols,Ontology
30,RS,replicative senescence,GO:0090399,"['ATM', 'ATR', 'CDKN2A', 'CHEK1', 'CHEK2', 'MME', 'PLA2R1', 'ROMO1', 'SERPINE1', 'TERT', 'TP53', 'WNT16']",BP
31,RS,DNA replication,GO:0006260,"['ACTL6A', 'ACTR5', 'ACTR8', 'ACVRL1', 'AFG2A', 'AFG2B', 'AGER', 'AICDA', 'AIRIM', 'ANKRD17', 'ASCC1', 'ASCC2', 'ASCC3', 'ASF1A', 'ATAD5', 'ATR', 'ATRX', 'BARD1', 'BAZ1A', 'BCL6', 'BLM', 'BOD1L1', 'BRCA1', 'BRCA2', 'BRPF3', 'CAMSAP3', 'CARM1', 'CCNA2', 'CDC25A', 'CDC34', 'CDC45', 'CDC6', 'CDC7', 'CDK1', 'CDK2', 'CDK2AP1', 'CDK9', 'CDKN1A', 'CDKN1B', 'CDT1', 'CENPS', 'CENPX', 'CHEK1', 'CHRAC1', 'CHTF18', 'CHTF8', 'CINP', 'CTBP1-DT', 'CTC1', 'CUL2', 'CUL4A', 'CUL4B', 'DBF4', 'DBF4B', 'DDB1', 'DDX11', 'DHFR', 'DHX9', 'DNA2', 'DONSON', 'DSCC1', 'DTL', 'DUT', 'DYNLL1', 'E2F7', 'E2F8', 'EGFR', 'EHMT2', 'ELOB', 'ELOC', 'EME1', 'EME2', 'ENDOG', 'ENPP7', 'EREG', 'ESCO1', 'ESCO2', 'ETAA1', 'EXD2', 'EXO1', 'FAAP20', 'FAF1', 'FAM111A', 'FAM111B', 'FANCM', 'FBH1', 'FBXO5', 'FEN1', 'GDF2', 'GEN1', 'GINS1', 'GINS2', 'GINS3', 'GINS4', 'GLI1', 'GLI2', 'GMNC', 'GMNN', 'GRWD1', 'GTPBP4', 'HELB', 'HLTF', 'ING5', 'INO80', 'INO80B', 'INO80C', 'INO80D', 'INO80E', 'JADE1', 'JADE2', 'JADE3', 'KAT7', 'KHDC3L', 'KIN', 'LIG1', 'LIG3', 'LRR1', 'LRWD1', 'MAD2L2', 'MCIDAS', 'MCM10', 'MCM2', 'MCM3', 'MCM4', 'MCM5', 'MCM6', 'MCM7', 'MCM8', 'MCM9', 'MCMBP', 'MCRS1', 'MEAF6', 'METTL4', 'MGME1', 'MMS22L', 'MRE11', 'MSH2', 'MUS81', 'NAP1L1', 'NBN', 'NFI', 'NFRKB', 'NOC3L', 'NT5M', 'NUCKS1', 'NUGGC', 'OBI1', 'OOEP', 'ORC1', 'ORC2', 'ORC3', 'ORC4', 'ORC5', 'ORC6', 'PARP1', 'PARP10', 'PCLAF', 'PCNA', 'PDS5A', 'PHIP', 'PNKP', 'POLA1', 'POLA2', 'POLB', 'POLD1', 'POLD2', 'POLD3', 'POLD4', 'POLDIP2', 'POLE', 'POLE2', 'POLE3', 'POLE4', 'POLG', 'POLG2', 'POLH', 'POLI', 'POLK', 'POLL', 'POLN', 'POLQ', 'POLRMT', 'PRIM1', 'PRIM2', 'PRIMPOL', 'PTK6', 'PTMS', 'PURA', 'RAD17', 'RAD18', 'RAD50', 'RAD51', 'RAD51C', 'RBBP6', 'RBBP8', 'RBMS1', 'RBX1', 'RCHY1', 'RECQL', 'RECQL4', 'RECQL5', 'REV1', 'REV3L', 'RFC1', 'RFC2', 'RFC3', 'RFC4', 'RFC5', 'RFWD3', 'RNASEH1', 'RNASEH2A', 'RPA1', 'RPA2', 'RPA3', 'RPA4', 'RRM1', 'RRM2B', 'RTEL1', 'RUVBL1', 'RUVBL2', 'S100A11', 'SAMHD1', 'SET', 'SETMAR', 'SHMT1', 'SLFN11', 'SLX1A', 'SLX4', 'SMARCA5', 'SMARCAL1', 'SMC3', 'SPRTN', 'SSBP1', 'STN1', 'TBRG1', 'TEFM', 'TERF1', 'TERF2', 'TFPT', 'TICRR', 'TIMELESS', 'TIPIN', 'TK1', 'TONSL', 'TOP1', 'TOP1MT', 'TOPBP1', 'TRAIP', 'TREX1', 'TSPYL2', 'TWNK', 'TYMS', 'UBE2A', 'UBE2B', 'UBE2N', 'UBE2NL', 'UCHL5', 'UPF1', 'USP1', 'USP10', 'USP37', 'USP43', 'VCP', 'WAPL', 'WDHD1', 'WDR18', 'WDR33', 'WEE1', 'WIZ', 'WRN', 'WRNIP1', 'XRCC3', 'YY1', 'ZBTB1', 'ZBTB38', 'ZNF365', 'ZPR1', 'ZRANB3']",BP
32,RS,telomere maintenance in response to DNA damage,GO:0043247,"['ACD', 'APEX1', 'CDK2', 'DCLRE1B', 'ERCC1', 'ERCC4', 'MAD2L2', 'NBN', 'PPP1CA', 'RIF1', 'RTEL1', 'SHLD1', 'SHLD2', 'SHLD3', 'TERF2', 'TERF2IP', 'TFIP11']",BP
33,RS,positive regulation of apoptotic process,GO:0043065,"['ABL1', 'ACIN1', 'ACVR1C', 'ADAM8', 'ADAMTSL4', 'ADIPOQ', 'ADRB1', 'ADRB2', 'AGT', 'AGTR2', 'AIFM1', 'AIFM2', 'AKR1C3', 'ANKRD1', 'ANO6', 'APAF1', 'APBB1', 'APC', 'APP', 'ARHGEF7', 'ARL6IP5', 'ATF3', 'ATF4', 'ATF6', 'ATG7', 'ATM', 'BACE1', 'BAD', 'BAG1', 'BAK1', 'BARD1', 'BAX', 'BBC3', 'BCAP31', 'BCL10', 'BCL2', 'BCL2A1', 'BCL2L1', 'BCL2L10', 'BCL2L11', 'BCL2L14', 'BCL2L2', 'BCL6', 'BCLAF1', 'BECN1', 'BID', 'BIN1', 'BLID', 'BMF', 'BMP2', 'BMP4', 'BNIP3', 'BNIP3L', 'BOK', 'BRMS1', 'BTG1', 'C1QBP', 'C3orf38', 'CALHM2', 'CAMK2A', 'CAMK2D', 'CARM1', 'CASP1', 'CASP10', 'CASP12', 'CASP14', 'CASP2', 'CASP3', 'CASP4', 'CASP5', 'CASP6', 'CASP7', 'CASP8', 'CASP9', 'CAV1', 'CCAR1', 'CCAR2', 'CCL2', 'CCL3', 'CCL5', 'CD160', 'CD274', 'CD40', 'CD40LG', 'CDK5', 'CDK5R1', 'CDKN2A', 'CFLAR', 'CIDEB', 'CLIP3', 'CLU', 'CRADD', 'CSRNP3', 'CTLA4', 'CTNNB1', 'CTNNBL1', 'CTSD', 'CTSH', 'CXCR3', 'CYLD', 'CYP1B1', 'DAB2IP', 'DAPK1', 'DAPK2', 'DAPK3', 'DCUN1D3', 'DDIT3', 'DDX20', 'DDX3X', 'DEDD2', 'DIABLO', 'DKKL1', 'DLC1', 'DNAJA1', 'DNM2', 'DUSP6', 'E2F1', 'E2F3', 'ECSCR', 'ECT2', 'EEF1E1', 'EIF5A', 'EMILIN2', 'EPHA7', 'ERCC3', 'F2R', 'F3', 'FADD', 'FAF1', 'FAM162A', 'FANK1', 'FAP', 'FAS', 'FASLG', 'FBH1', 'FBXW7', 'FIS1', 'FLCN', 'FNIP1', 'FOXA1', 'FOXL2', 'FOXO1', 'FOXO3', 'FRZB', 'FZD9', 'G0S2', 'GADD45A', 'GADD45B', 'GADD45G', 'GPER1', 'GPLD1', 'GRAMD4', 'GRN', 'GSDME', 'GSK3A', 'GSK3B', 'GSN', 'GZMA', 'HCAR2', 'HLA-G', 'HMGB1', 'HOXA5', 'HRG', 'HRK', 'HSPD1', 'HTRA1', 'HTRA2', 'HTRA4', 'HTT', 'HYAL2', 'IAPP', 'ICAM1', 'IDO1', 'IFIT2', 'IFNB1', 'IFNG', 'IGFBP3', 'IL10', 'IL12A', 'IL12B', 'IL6', 'ING4', 'ING5', 'INHBA', 'IP6K2', 'IRF5', 'ITGA4', 'ITGA6', 'ITGB1', 'JMY', 'KCNMA1', 'KLF11', 'KNG1', 'LATS1', 'LATS2', 'LCK', 'LGALS1', 'LGALS16', 'LGALS2', 'LGALS9', 'LILRB1', 'LTA', 'LTB', 'LTBR', 'LTK', 'LYN', 'MAP3K10', 'MAP3K20', 'MAP3K5', 'MAPK8', 'MCL1', 'MEF2C', 'MELK', 'MFN2', 'MLLT11', 'MNDA', 'MOAP1', 'MSX1', 'MTCH1', 'MTCH2', 'MYBBP1A', 'MYC', 'NACC2', 'NCK1', 'NCK2', 'NDUFA13', 'NET1', 'NEURL1', 'NEUROD1', 'NF1', 'NGFR', 'NHERF1', 'NKX3-1', 'NLRC4', 'NLRP2B', 'NOS1', 'NOTCH1', 'NUPR1', 'O00366', 'OLFM1', 'OMA1', 'PAK2', 'PANO1', 'PAWR', 'PCSK9', 'PDCD4', 'PDCD5', 'PDCD6', 'PERP', 'PHB1', 'PHLDA1', 'PHLDA3', 'PIAS4', 'PIDD1', 'PIK3CB', 'PIK3CD', 'PIP5KL1', 'PLA2G1B', 'PLA2R1', 'PLCG1', 'PLEKHN1', 'PMAIP1', 'PML', 'PNMA1', 'PNMA2', 'PNMA3', 'PNMA5', 'PNN', 'PPARG', 'PPID', 'PPP2R1B', 'PRDM11', 'PRELID1', 'PRKCI', 'PRNP', 'PRR7', 'PTGIS', 'PTPA', 'PTRH2', 'PYCARD', 'Q9HBP0', 'QRICH1', 'RACK1', 'RAPGEF2', 'RARG', 'RASSF2', 'RBM5', 'RET', 'RGCC', 'RHOB', 'RILPL1', 'RIPK1', 'RNF122', 'RNF183', 'RNPS1', 'RPL26', 'RPS3', 'RPS6', 'RPS6KA2', 'RPS7', 'RRP1B', 'RYBP', 'S100A8', 'S100A9', 'SAP18', 'SAV1', 'SCIN', 'SCRIB', 'SEPTIN4', 'SFPQ', 'SFRP1', 'SFRP2', 'SFRP4', 'SIAH1', 'SIK1', 'SIRT1', 'SIRT2', 'SLC27A4', 'SLIT2', 'SMPD1', 'SNCA', 'SOD1', 'SOD2', 'SOX4', 'SP1', 'SPDEF', 'SPHK2', 'SQSTM1', 'SRPK2', 'STK17A', 'STK17B', 'STK3', 'STK4', 'STPG1', 'STUB1', 'STYXL1', 'TCTN3', 'TFAP2A', 'TFAP2B', 'TFAP4', 'TFPT', 'TGFB1', 'TGFB2', 'TGFB3', 'TGFBR1', 'TGM2', 'THBS1', 'TLE5', 'TLR4', 'TLR6', 'TMC8', 'TMEM196', 'TNF', 'TNFAIP8', 'TNFRSF10A', 'TNFRSF10B', 'TNFRSF12A', 'TNFRSF1A', 'TNFRSF1B', 'TNFRSF8', 'TNFSF10', 'TNFSF11', 'TNFSF12', 'TNFSF14', 'TNFSF15', 'TOP2A', 'TP53', 'TP53BP1', 'TP53BP2', 'TP63', 'TP73', 'TPD52L1', 'TRADD', 'TRAF2', 'TRAF7', 'TRIM35', 'TRIM39', 'TSC22D1', 'UBB', 'UBD', 'UBE2Z', 'UNC13B', 'UNQ5830/PRO19650/PRO19816', 'USP17L24', 'USP27X', 'UTP11', 'VNN1', 'WNT10B', 'WNT5A', 'WWOX', 'ZBP1', 'ZC3H12A', 'ZC3H8', 'ZNF268', 'ZNF622']",BP
34,RS,negative regulation of cell population proliferation,GO:0008285,"['A8KAE3', 'ABI1', 'ACVR1C', 'ACVRL1', 'ADAMTS1', 'ADAMTS8', 'ADARB1', 'ADGRB1', 'ADGRG1', 'ADIPOQ', 'ADORA3', 'ADRA1A', 'AIF1', 'AIMP1', 'AKIRIN1', 'ALDH1A2', 'ALOX15B', 'ALOX5', 'ANG', 'APC', 'APLN', 'APOD', 'APOE', 'APOH', 'APP', 'APPL2', 'AQP11', 'AR', 'ARG1', 'ARID2', 'ATF5', 'ATG101', 'ATG13', 'ATM', 'ATOH8', 'ATP5F1A', 'ATP5IF1', 'ATP8A2', 'ATRAID', 'AVPR2', 'AZGP1', 'B2M', 'B2RAG9', 'B4GALT7', 'BAP1', 'BMP2', 'BMP4', 'BMP5', 'BMP7', 'BMPR1B', 'BMPR2', 'BNIPL', 'BPGF-1', 'BRCA2', 'BTG1', 'BTG2', 'BTG3', 'BTG4', 'BTLA', 'BTN2A2', 'CASK', 'CAV1', 'CAV2', 'CBFA2T3', 'CCL2', 'CCL23', 'CCL3L1', 'CCN3', 'CCN6', 'CD200', 'CD274', 'CD300A', 'CD33', 'CD80', 'CD86', 'CDC6', 'CDC73', 'CDH13', 'CDK10', 'CDK6', 'CDKN1A', 'CDKN1B', 'CDKN1C', 'CDKN2A', 'CDKN2B', 'CDKN2C', 'CDKN2D', 'CDKN3', 'CEACAM1', 'CEBPA', 'CEBPB', 'CELF1', 'CER1', 'CERS2', 'CGREF1', 'CGRRF1', 'CHD5', 'CHERP', 'CIB1', 'CLDN19', 'CLDN3', 'CLMN', 'CNMD', 'CNN1', 'CNOT7', 'CNTF', 'CNTFR', 'COL18A1', 'COL4A3', 'COPS8', 'CR1', 'CRP', 'CRTAM', 'CSNK2B', 'CTBP1', 'CTBP2', 'CTCF', 'CTLA4', 'CTNNB1', 'CTNNBIP1', 'CXCL1', 'CXCL8', 'CXCR3', 'CYP1B1', 'CYP27B1', 'DAB2IP', 'DDAH1', 'DELEC1', 'DHRS2', 'DICER1', 'DIS3L2', 'DLC1', 'DLEC1', 'DLG3', 'DLG5', 'DLL1', 'DLL4', 'DNAJA3', 'DNAJB2', 'DRC4', 'DRD2', 'DSC1', 'DUSP10', 'DUX4', 'E2F1', 'E2F3', 'ECRG4', 'EEF1E1', 'EFEMP2', 'EIF2AK2', 'EMD', 'ENPP3', 'ENPP7', 'EPHB1', 'EPPK1', 'ERBB4', 'EREG', 'ETS1', 'F2R', 'FABP3', 'FABP6', 'FABP7', 'FAP', 'FBLN1', 'FBXW7', 'FCGR2B', 'FGFBP1', 'FGFR2', 'FKTN', 'FLCN', 'FLT1', 'FOXO4', 'FOXP3', 'FRZB', 'FTH1', 'FUZ', 'GATA2', 'GATA3', 'GATA6', 'GDF2', 'GDF5', 'GDF8', 'GDPD2', 'GHRL', 'GLMN', 'GML', 'GPER1', 'GPLD1', 'GPNMB', 'GREM1', 'GSDME', 'GSTP1', 'GTPBP4', 'H2AC4', 'H2AC6', 'HES1', 'HGS', 'HLA-DRB1', 'HLA-E', 'HLA-G', 'HMGA1', 'HMOX1', 'HNF4A', 'HPN', 'HRAS', 'HRG', 'HSPA1A', 'HSPA1B', 'IFI35', 'IFIT3', 'IFITM1', 'IFNG', 'IFNK', 'IFNL1', 'IFNLR1', 'IGFBP3', 'IGFBP5', 'IGFBP6', 'IGFBP7', 'IHH', 'IL10', 'IL12A', 'IL12B', 'IL1A', 'IL1B', 'IL26', 'IL33', 'IL4I1', 'IL6', 'INCA1', 'ING1', 'ING4', 'ING5', 'INHBA', 'INSM1', 'IRF1', 'IRF6', 'ITGA1', 'ITGB1BP1', 'JAK2', 'KANK2', 'KAT2B', 'KDF1', 'KDM2B', 'KLF10', 'KLF11', 'KLF4', 'KLF9', 'KRIT1', 'KRT4', 'LDOC1', 'LGALS9', 'LGALS9B', 'LGALS9C', 'LILRB1', 'LILRB2', 'LILRB4', 'LMNA', 'LST1', 'LYN', 'MAGED1', 'MAGI2', 'MAP2K1', 'MARVELD3', 'MCC', 'MDM4', 'MED1', 'MED25', 'MEF2C', 'MEN1', 'MFN2', 'MINAR1', 'MMRN2', 'MN1', 'MNDA', 'MORC3', 'MSTN', 'MTSS1', 'MYC', 'MYO16', 'MYOCD', 'MYOG', 'NACC2', 'NCK2', 'NDRG4', 'NELL1', 'NEURL1', 'NF1', 'NF2', 'NFIB', 'NGF', 'NGFR', 'NHERF1', 'NIBAN2', 'NKX3-1', 'NLRC3', 'NME1', 'NMI', 'NODAL', 'NOG', 'NOS3', 'NOTCH1', 'NOX4', 'NPM1', 'NR2F2', 'NTRK1', 'NUDT6', 'NUP62', 'NUPR1', 'NUPR2', 'OGN', 'OPRM1', 'OSM', 'OVOL2', 'P3H1', 'P3H2', 'P3H3', 'PAK1', 'PARP10', 'PBRM1', 'PDCD10', 'PDCD1LG2', 'PDCD4', 'PDPN', 'PDS5B', 'PER2', 'PEX2', 'PHB1', 'PHF14', 'PHF7', 'PIM2', 'PINX1', 'PKD2', 'PLA2G2A', 'PLA2G2D', 'PLA2G2F', 'PLA2G5', 'PLAAT4', 'PLPP1', 'PLXNB1', 'PML', 'PODN', 'POU1F1', 'PPARG', 'PPARGC1A', 'PPM1D', 'PPP2R5C', 'PRKAR1A', 'PRKG1', 'PRKRA', 'PRL', 'PRNP', 'PROX1', 'PTEN', 'PTGIR', 'PTHLH', 'PTK2B', 'PTN', 'PTPN11', 'PTPN14', 'PTPN2', 'PTPN6', 'PTPRJ', 'PTPRK', 'PTPRM', 'PTPRU', 'Q8TD27', 'Q9NP35', 'RAF1', 'RAPGEF2', 'RARG', 'RARRES1', 'RB1CC1', 'RBBP4', 'RBM5', 'RBP4', 'RC3H1', 'RERG', 'RGCC', 'RNF10', 'RNF139', 'RNF41', 'ROBO1', 'RPS6KA2', 'RUNX3', 'S100A11', 'SAV1', 'SCG2', 'SCIN', 'SCRIB', 'SDC4', 'SFRP1', 'SFRP2', 'SFRP4', 'SFRP5', 'SFTPD', 'SH2B3', 'SH3BP4', 'SIRPG', 'SIRT2', 'SKI', 'SLC16A2', 'SLC4A2', 'SLURP1', 'SMAD3', 'SMAD6', 'SMARCA2', 'SMYD2', 'SNAI2', 'SOD2', 'SOX11', 'SOX9', 'SPARC', 'SPEG', 'SPIN4', 'SPN', 'SST', 'SSTR1', 'SSTR2', 'SSTR3', 'SSTR4', 'SSTR5', 'ST18', 'STAT1', 'STK11', 'STRN', 'SULF1', 'SULT2B1', 'SYNJ2BP', 'TAFA5', 'TARM1', 'TBRG1', 'TBX3', 'TBX5', 'TENM1', 'TENT5B', 'TES', 'TESC', 'TFAP2A', 'TFAP2B', 'TFAP4', 'TFDP1', 'TGFB1', 'TGFB1I1', 'TGFB2', 'TGFB3', 'TGFBR3', 'THAP12', 'THBS1', 'TIAL1', 'TINF2', 'TMEM115', 'TMEM127', 'TMEM131L', 'TMEM196', 'TMIGD1', 'TMIGD3', 'TNFAIP3', 'TNFRSF13B', 'TNFRSF14', 'TNFRSF21', 'TNFRSF8', 'TNFRSF9', 'TNMD', 'TNS2', 'TOB1', 'TOB2', 'TP53', 'TP53I11', 'TP53INP1', 'TP73', 'TPM1', 'TREM2', 'TRIB1', 'TRIM32', 'TSC1', 'TSC2', 'TSC22D1', 'TWSG1', 'TYROBP', 'ULK1', 'UMOD', 'UTP20', 'VASH1', 'VDR', 'VGLL4', 'VHL', 'VSIG4', 'VSIR', 'VTCN1', 'WARS1', 'WDR6', 'WNK2', 'WNT5A', 'WNT9A', 'WT1', 'WWC1', 'WWC2', 'WWC3', 'XCL1', 'ZBTB17', 'ZBTB49', 'ZBTB7B', 'ZBTB7C', 'ZNF268', 'ZNF503', 'ZNF777']",BP
35,RS,recombinational repair,GO:0000725,"['ABL1', 'ACTB', 'ACTL6A', 'ACTR2', 'ANKLE1', 'AP5S1', 'AP5Z1', 'ARID2', 'ASTE1', 'ATM', 'AUNIP', 'BLM', 'BRCA1', 'BRCA2', 'BRD8', 'BRD9', 'C1QBP', 'CDC45', 'CDC7', 'CGAS', 'CHD4', 'CHEK1', 'CREBBP', 'CSNK2A1', 'CTBP1-DT', 'DMAP1', 'DMC1', 'EID3', 'EP400', 'EPC1', 'EPC2', 'ERCC4', 'ERCC5', 'ERCC6', 'EXD2', 'FAN1', 'FANCB', 'FANCM', 'FBH1', 'FEN1', 'FIGNL1', 'FIRRM', 'FUS', 'GEN1', 'GINS2', 'GINS4', 'HDGFL2', 'HELB', 'HELLS', 'HELQ', 'HTATSF1', 'HUS1', 'HUS1B', 'ING3', 'INIP', 'INO80', 'INTS3', 'KAT5', 'KDM1A', 'KDM4D', 'KHDC3L', 'KLHL15', 'KMT5A', 'LIG3', 'MAD2L2', 'MAGEF1', 'MBTD1', 'MCM2', 'MCM3', 'MCM4', 'MCM5', 'MCM6', 'MCM7', 'MCM8', 'MCM9', 'MCMDC2', 'MEAF6', 'MEIOB', 'MMS22L', 'MORF4L1', 'MORF4L2', 'MRE11', 'MRGBP', 'MRNIP', 'MUS81', 'NABP1', 'NABP2', 'NBN', 'NIPBL', 'NSMCE1', 'NSMCE2', 'NSMCE3', 'NSMCE4A', 'NUCKS1', 'OOEP', 'PALB2', 'PARP1', 'PARPBP', 'PDS5B', 'PELI1', 'PIAS4', 'PLK1', 'POGZ', 'POLL', 'POLN', 'POLQ', 'PPP4C', 'PPP4R2', 'PRMT1', 'PSMD14', 'RAD21', 'RAD21L1', 'RAD50', 'RAD51', 'RAD51AP1', 'RAD51B', 'RAD51C', 'RAD51D', 'RAD52', 'RAD54B', 'RAD54L', 'RADX', 'RBBP8', 'REV3L', 'RFWD3', 'RHNO1', 'RIF1', 'RMI1', 'RMI2', 'RNF126', 'RNF138', 'RNF169', 'RNF8', 'RPA1', 'RPA2', 'RPA3', 'RTEL1', 'RUVBL1', 'RUVBL2', 'SAMHD1', 'SEM1', 'SENP3', 'SETD2', 'SFPQ', 'SFR1', 'SHLD1', 'SHLD2', 'SHLD3', 'SIRT6', 'SKP2', 'SLF1', 'SLF2', 'SLX1A', 'SLX4', 'SMC5', 'SMC6', 'SMCHD1', 'SPIDR', 'SWI5', 'SWSAP1', 'TERF2IP', 'TEX15', 'TIMELESS', 'TONSL', 'TOP3A', 'TOPBP1', 'TP53BP1', 'TRRAP', 'UBE2N', 'UBQLN4', 'UCHL3', 'UHRF1', 'USP51', 'VPS72', 'WAS', 'WDR48', 'WRAP53', 'XRCC2', 'XRCC3', 'XRCC5', 'XRCC6', 'YEATS4', 'YY1', 'ZFYVE26', 'ZGRF1', 'ZMYND8', 'ZNF365', 'ZSWIM7']",BP
36,RS,telomere maintenance,GO:0000723,"['ACD', 'APEX1', 'ATM', 'ATR', 'ATRX', 'AURKB', 'BLM', 'CCT2', 'CCT3', 'CCT4', 'CCT5', 'CCT6A', 'CCT7', 'CCT8', 'CDK2', 'CTC1', 'CTNNB1', 'DCLRE1B', 'DCLRE1C', 'DCP2', 'DHX36', 'DKC1', 'DNA2', 'DSP', 'EID3', 'EME1', 'EME2', 'ERCC1', 'ERCC4', 'EXO1', 'EXOSC10', 'FBXO4', 'FEN1', 'GAR1', 'GNL3', 'GNL3L', 'HDAC8', 'HMBOX1', 'HNRNPA1', 'HNRNPA2B1', 'HNRNPC', 'HNRNPD', 'HNRNPU', 'HSP90AA1', 'HSP90AB1', 'HUS1', 'HUS1B', 'KLF4', 'LIG1', 'LRRC34', 'LTO1', 'MAD2L2', 'MAP2K7', 'MAP3K4', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPKAPK5', 'MRE11', 'MUS81', 'MYC', 'NABP2', 'NAF1', 'NAT10', 'NBN', 'NEK2', 'NEK7', 'NHEJ1', 'NHP2', 'NOP10', 'NSMCE1', 'NSMCE2', 'NSMCE3', 'NSMCE4A', 'NVL', 'PARN', 'PARP1', 'PARP3', 'PCNA', 'PIF1', 'PINX1', 'PKIB', 'PML', 'PNKP', 'POT1', 'PPP1CA', 'PPP1R10', 'PRKCQ', 'PRKDC', 'PTGES3', 'RAD50', 'RAD51', 'RAD51D', 'RAD52', 'RECQL4', 'RFC1', 'RIF1', 'RPA1', 'RPA2', 'RPA3', 'RTEL1', 'SHLD1', 'SHLD2', 'SHLD3', 'SIRT6', 'SLF1', 'SLF2', 'SLX1A', 'SLX4', 'SMARCAL1', 'SMC5', 'SMC6', 'SMG1', 'SMG5', 'SMG6', 'SP100', 'SRC', 'STN1', 'TCP1', 'TEN1', 'TENT4B', 'TEP1', 'TERF1', 'TERF2', 'TERF2IP', 'TERT', 'TFIP11', 'TINF2', 'TNKS', 'TNKS1BP1', 'TNKS2', 'TP53', 'UPF1', 'USP7', 'WRAP53', 'WRN', 'XRCC3', 'XRCC5', 'XRCC6', 'XRN1', 'YLPM1', 'ZBTB48', 'ZNF365', 'ZNF827', 'ZSCAN4']",BP
37,RS,telomere maintenance via recombination,GO:0000722,"['ERCC1', 'ERCC4', 'NSMCE2', 'RAD50', 'RAD51', 'RAD51D', 'SMC5', 'SMC6', 'TEP1', 'TERF2', 'TERT', 'XRCC3']",BP
38,RS,telomere organization,GO:0032200,"['ACD', 'APEX1', 'ATM', 'ATR', 'ATRX', 'AURKB', 'BLM', 'CCT2', 'CCT3', 'CCT4', 'CCT5', 'CCT6A', 'CCT7', 'CCT8', 'CDK2', 'CTC1', 'CTNNB1', 'DCLRE1B', 'DCLRE1C', 'DCP2', 'DHX36', 'DKC1', 'DNA2', 'DOT1L', 'DSP', 'EID3', 'EME1', 'EME2', 'ERCC1', 'ERCC4', 'EXO1', 'EXOSC10', 'FBXO4', 'FEN1', 'GAR1', 'GNL3', 'GNL3L', 'H3-3A', 'H3C1', 'H4C1', 'HDAC8', 'HMBOX1', 'HNRNPA1', 'HNRNPA2B1', 'HNRNPC', 'HNRNPD', 'HNRNPU', 'HSP90AA1', 'HSP90AB1', 'HUS1', 'HUS1B', 'KLF4', 'LIG1', 'LRRC34', 'LTO1', 'MAD2L2', 'MAP2K7', 'MAP3K4', 'MAPK1', 'MAPK15', 'MAPK3', 'MAPKAPK5', 'MRE11', 'MUS81', 'MYC', 'NABP2', 'NAF1', 'NAT10', 'NBN', 'NEK2', 'NEK7', 'NHEJ1', 'NHP2', 'NOP10', 'NSMCE1', 'NSMCE2', 'NSMCE3', 'NSMCE4A', 'NVL', 'PARN', 'PARP1', 'PARP3', 'PCNA', 'PIF1', 'PINX1', 'PKIB', 'PML', 'PNKP', 'POT1', 'PPP1CA', 'PPP1R10', 'PRKCQ', 'PRKDC', 'PTGES3', 'RAD50', 'RAD51', 'RAD51D', 'RAD52', 'RECQL4', 'RFC1', 'RIF1', 'RPA1', 'RPA2', 'RPA3', 'RTEL1', 'SHLD1', 'SHLD2', 'SHLD3', 'SIRT6', 'SLF1', 'SLF2', 'SLX1A', 'SLX4', 'SMARCAL1', 'SMC5', 'SMC6', 'SMG1', 'SMG5', 'SMG6', 'SP100', 'SRC', 'STN1', 'TCP1', 'TEN1', 'TENT4B', 'TEP1', 'TERF1', 'TERF2', 'TERF2IP', 'TERT', 'TFIP11', 'TINF2', 'TNKS', 'TNKS1BP1', 'TNKS2', 'TP53', 'UPF1', 'USP7', 'WRAP53', 'WRN', 'XRCC3', 'XRCC5', 'XRCC6', 'XRN1', 'YLPM1', 'ZBTB48', 'ZNF365', 'ZNF827', 'ZSCAN4']",BP
39,RS,negative regulation of telomere maintenance via telomerase,GO:0032211,"['ACD', 'CTC1', 'DCP2', 'EXOSC10', 'GNL3L', 'HNRNPA1', 'HNRNPC', 'HNRNPU', 'NAT10', 'PARP3', 'PIF1', 'PINX1', 'POT1', 'STN1', 'TEN1', 'TENT4B', 'TERF1', 'TERF2', 'TINF2', 'TP53', 'XRN1']",BP
40,OIS,mitotic intra-S DNA damage checkpoint signaling,GO:0031573,"['ATF2', 'CDC7', 'CHEK2', 'DBF4', 'EME1', 'EME2', 'FANCD2', 'HUS1', 'HUS1B', 'MDC1', 'MRE11', 'MUS81', 'NEK11', 'RAD17', 'RAD9A', 'RAD9B', 'TIMELESS', 'TIPIN']",BP
41,OIS,mitotic G1 DNA damage checkpoint signaling,GO:0031571,"['CCND1', 'CDK2', 'CDKN1A', 'FBXO31', 'MUC1', 'PRKDC', 'RFWD3', 'RPA2', 'RPS27L', 'SDE2', 'TP53', 'TRIAP1', 'WAC']",BP
