,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,Tissue,source_ct,source_state,target_ct,target_state,ligand_mean,ligand_pct,receptor_mean,receptor_pct,rank_within_tissue,percentile,gene_name,cell_type,logFC,FDR,l_sasp_group,target_ct_cat,source_ct_cat
8076,Epithelial cell_Sc,NK_NSc,B2M,KLRD1,2.197411,0.0,4.7904387,0.6621283435209044,0.7843339676766279,0.02987756,0.95950675,1.6137838941351262e-05,3.228521852639745e-06,Kidney,Epithelial cells,Sc,NK cells,NSc,2.0020225,0.7302399999999757,2.3927996,0.79606879606881,68.0,0.007935581748161979,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8077,Epithelial cell_Sc,CD8T_NSc,B2M,KLRD1,1.9018416,0.0,3.6069653,0.387146679038243,0.717649865273198,0.022496335,0.95362043,2.6907759389798346e-05,1.3081550021536616e-05,Kidney,Epithelial cells,Sc,CD8 T cells,NSc,2.0020225,0.7302399999999757,1.8016608,0.6035103510350749,119.0,0.013887268059283463,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
8078,Epithelial cell_Sc,NK_NSc,HLA-B,KLRD1,1.6425375,0.0,2.135036,0.6141433691050648,0.5799185847578938,0.017200248,0.9405436,3.938217136366308e-05,6.586722733262925e-05,Kidney,Epithelial cells,Sc,NK cells,NSc,0.8922753,0.3599999999999907,2.3927996,0.79606879606881,245.0,0.028591434239701247,HLA-B,Epithelial cell,1.34095933148937,0.005591809449204,Immune interface,Immune,Epithelial
8079,Mono+mac_Sc,Mono+mac_NSc,HLA-DRA,CD4,1.7939644,0.0,1.2164087,1.4177805584472905,1.7694193891057406,0.21862487,0.92272246,1.6527380658923149e-06,0.0001958896082334105,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,3.2088494,0.9982300884955664,0.3790794,0.1608518350702311,393.0,0.045862994515112616,HLA-DRA,Mono+mac,1.7342095444935028,6.86423455437437e-05,Immune interface,Immune,Immune
8080,Mono+mac_Sc,Mono+mac_NSc,HLA-DPA1,CD4,1.7078935,0.0,1.1511533,1.4504487184106356,1.7754164066447071,0.22360614,0.9207335,1.6527380658923149e-06,0.00022929559423682665,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,3.0367076,0.9893805309734427,0.3790794,0.1608518350702311,427.0,0.0498307853891936,HLA-DPA1,Mono+mac,1.5545008036450711,3.0581460565139755e-05,Immune interface,Immune,Immune
8081,Mono+mac_Sc,Mono+mac_NSc,HLA-DRB1,CD4,1.7024459,0.0,1.1470232,1.3087698549904863,1.6210731213765404,0.193523,0.92060226,1.6527380658923149e-06,0.00023365553995943753,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,3.0258124,0.9911504424778674,0.3790794,0.1608518350702311,430.0,0.050180884583965454,HLA-DRB1,Mono+mac,1.6470549012783462,5.9964226176240806e-05,Immune interface,Immune,Immune
8082,Mono+mac_Sc,Mono+mac_NSc,HLA-DPB1,CD4,1.6793283,0.0,1.1294963,1.442525628335603,1.7649501586255636,0.23167044,0.9200377,1.6527380658923149e-06,0.00024324246781052023,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,2.9795773,0.980530973451319,0.3790794,0.1608518350702311,438.0,0.051114482436690395,HLA-DPB1,Mono+mac,1.8956846877770412,3.930556390358888e-05,Immune interface,Immune,Immune
8084,Epithelial cell_Sc,CD8T_NSc,HLA-B,CD3D,1.4162889,0.0,1.7312839,0.3732272582766845,0.5556763076522988,0.013836102,0.9344047,4.8400634397162926e-05,0.000296518217441939,Kidney,Epithelial cells,Sc,CD8 T cells,NSc,0.8922753,0.3599999999999907,1.9403025,0.6482898289828657,496.0,0.057883066868946204,HLA-B,Epithelial cell,1.34095933148937,0.005591809449204,Immune interface,Immune,Epithelial
8085,Epithelial cell_Sc,CD8T_NSc,HLA-B,KLRD1,1.346968,0.0,1.6075773,0.3391617046224034,0.5132344823544639,0.012950944,0.93209577,5.1049005147094365e-05,0.0003985586835476264,Kidney,Epithelial cells,Sc,CD8 T cells,NSc,0.8922753,0.3599999999999907,1.8016608,0.6035103510350749,583.0,0.06803594351732992,HLA-B,Epithelial cell,1.34095933148937,0.005591809449204,Immune interface,Immune,Epithelial
8086,Mono+mac_Sc,Mono+mac_NSc,HLA-DQB1,CD4,1.4004564,0.0,0.9180672,1.9355555959109705,2.0616292677124113,0.33668405,0.9120745,1.5310068863214375e-07,0.0004071770951444046,Kidney,Monocytes / macrophages,Sc,Monocytes / macrophages,NSc,2.4218335,0.8902654867256574,0.3790794,0.1608518350702311,589.0,0.06873614190687362,HLA-DQB1,Mono+mac,2.334217291669101,0.0001968877790865,Immune interface,Immune,Immune
8087,Epithelial cell_Sc,NK_NSc,B2M,KLRC1,1.3409714,0.915,1.3612156,0.3156687355220152,0.5033231573994575,0.029038403,0.92663836,5.037674073481493e-05,0.00041200472889129237,Kidney,Epithelial cells,Sc,NK cells,NSc,2.0020225,0.7302399999999757,0.6799202,0.2407862407862381,591.0,0.06896954137005484,B2M,Epithelial cell,0.9190143251173016,0.0069504488651682,Immune interface,Immune,Epithelial
