,source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,Tissue,source_ct,source_state,target_ct,target_state,ligand_mean,ligand_pct,receptor_mean,receptor_pct,rank_within_tissue,percentile,gene_name,cell_type,logFC,FDR,l_sasp_group,target_ct_cat,source_ct_cat
0,Endothelial cell_Sc,Mural cell_NSc,TGM2,ITGB1,1.6821941,0.0,2.7114825,0.5037183762453822,0.6284374972325675,0.32761228,0.93946195,0.00032951550983604014,4.133441325692841e-05,Heart,Endothelial cells,Sc,Mural cells,NSc,1.3382545,0.7126909849468048,2.0261338,0.789784422056157,25.0,0.01151012891344383,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Mesenchymal & Stromal,Endothelial
2,Endothelial cell_Sc,Mural cell_NSc,TIMP2,ITGB1,1.3967971,0.0,1.5549774,0.3790138653541758,0.45844389416680875,0.2304397,0.9215805,0.0008835795593171369,0.0002904248051790488,Heart,Endothelial cells,Sc,Mural cells,NSc,0.7674604,0.47375542650958075,2.0261338,0.789784422056157,56.0,0.02578268876611418,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Mesenchymal & Stromal,Endothelial
3,Endothelial cell_Sc,Endothelial cell_NSc,TGM2,ITGB1,1.3614626,0.0,1.8530419,0.22525025556862727,0.17343798834155555,0.22389202,0.9276877,0.0009423834593597196,0.00035220443268334706,Heart,Endothelial cells,Sc,Endothelial cells,NSc,1.3382545,0.7126909849468048,1.3846709,0.5705331705332994,61.0,0.028084714548802948,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Endothelial,Endothelial
4,Endothelial cell_Sc,Mural cell_NSc,VEGFC,ITGB1,1.3237998,0.0,1.2591728,0.428955584784801,0.5880867166471655,0.36886027,0.9136086,0.00019420927819774667,0.0006969331495163206,Heart,Endothelial cells,Sc,Mural cells,NSc,0.6214658,0.37402040931386354,2.0261338,0.789784422056157,83.0,0.03821362799263352,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
5,Endothelial cell_Sc,Mural cell_NSc,TIMP1,CD63,1.5021642,0.0,1.1669798,0.09943843599041029,-0.2015978040892379,0.07151987,0.91056037,0.0034061856872164035,0.0009807319204447047,Heart,Endothelial cells,Sc,Mural cells,NSc,0.45836467,0.2571460788182605,2.5459638,0.9251435380783295,98.0,0.04511970534069982,TIMP1,Endothelial cell,1.6191347685741446,4.600981323448893e-07,ECM and remodeling,Mesenchymal & Stromal,Endothelial
9,Mural cell_Sc,Mural cell_NSc,PDGFA,PDGFRB,1.2111033,0.0,1.2209846,1.4333304774499325,2.07383716503609,0.91699874,0.91238546,8.973609778682495e-09,0.0015731717321624513,Heart,Mural cells,Sc,Mural cells,NSc,0.7153346,0.3815789473684152,1.706872,0.6861120138663057,127.0,0.05847145488029466,PDGFA,Mural cell,0.6135496704982799,0.0017562923263303,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
10,Endothelial cell_Sc,Endothelial cell_NSc,TIMP1,CD63,1.2973253,1.0,0.9791979,-0.11926058098526043,-0.4134756159055055,0.06001141,0.9031545,0.0726480222427819,0.0016320737902051044,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.45836467,0.2571460788182605,2.1362858,0.8133007733016739,129.0,0.05939226519337017,TIMP1,Endothelial cell,1.6191347685741446,4.600981323448893e-07,ECM and remodeling,Endothelial,Endothelial
13,Endothelial cell_Sc,Endothelial cell_NSc,VEGFC,FLT1,1.134095,0.0,1.0233828,0.3454560459668627,0.7672681079714985,0.77660716,0.90506756,9.150936710343335e-05,0.0028490001730570617,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.6214658,0.37402040931386354,1.6467242,0.6492796092799885,164.0,0.07550644567219153,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Endothelial,Endothelial
14,Mural cell_Sc,Mural cell_NSc,VEGFA,ITGB1,1.2104414,0.0,0.79981416,0.1786730021425031,0.1893514841637065,0.15493882,0.89393675,0.0017129072459343786,0.003061573182184342,Heart,Mural cells,Sc,Mural cells,NSc,0.39474896,0.21305668016194568,2.0261338,0.789784422056157,174.0,0.08011049723756906,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
15,Endothelial cell_Sc,Mural cell_NSc,HBEGF,CD9,1.2059124,0.0,0.75920373,0.327487900202756,0.41720291603715165,0.31436923,0.8914409,0.0003813951766054478,0.003596661382762595,Heart,Endothelial cells,Sc,Mural cells,NSc,0.3722332,0.23854090319667956,2.0395916,0.7894594301809537,189.0,0.08678637200736648,HBEGF,Endothelial cell,0.2892920130439994,0.0457266543428806,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
16,Endothelial cell_Sc,Endothelial cell_NSc,TIMP2,ITGB1,1.0760657,0.0,1.06268,0.10054574467742093,0.003444385275796824,0.15748374,0.90667397,0.001658564389881964,0.00420574914661108,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.7674604,0.47375542650958075,1.3846709,0.5705331705332994,200.0,0.09208103130755065,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Endothelial,Endothelial
17,Mural cell_Sc,Mural cell_NSc,THBS1,CD36,1.0586803,0.0,0.74584395,0.5257072709152601,0.6329381291842855,0.30531245,0.89057887,0.0004196876359619253,0.005032976655937275,Heart,Mural cells,Sc,Mural cells,NSc,0.44634056,0.23507085020243232,1.6710199,0.624634384140349,218.0,0.1003683241252302,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Mesenchymal & Stromal,Mesenchymal & Stromal
18,Endothelial cell_Sc,Mural cell_NSc,JAG1,NOTCH3,1.0479438,0.0,1.0171793,0.789131174242655,1.3270919721707382,0.23796163,0.904806,0.00014647509259827464,0.005491962533155074,Heart,Endothelial cells,Sc,Mural cells,NSc,0.76332635,0.4505271466426302,1.3325614,0.5606651500378337,224.0,0.1033609576427256,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Mesenchymal & Stromal,Endothelial
19,Mural cell_Sc,Endothelial cell_NSc,THBS1,CD36,1.0460322,0.0,0.7345533,0.515533396659246,0.6241314264208002,0.3006906,0.88983345,0.000437758577823368,0.005564321451043202,Heart,Mural cells,Sc,Endothelial cells,NSc,0.44634056,0.23507085020243232,1.6457238,0.637199837200178,227.0,0.10451197053406998,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Endothelial,Mesenchymal & Stromal
21,Mural cell_Sc,Mural cell_NSc,JAG1,NOTCH3,1.0242636,0.0,0.95406854,0.7626310489235525,1.326073294184995,0.47294474,0.9020116,9.150936710343335e-05,0.006121840091664824,Heart,Mural cells,Sc,Mural cells,NSc,0.7159659,0.39245951417003383,1.3325614,0.5606651500378337,242.0,0.1111878453038674,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Mesenchymal & Stromal,Mesenchymal & Stromal
23,Endothelial cell_Sc,Endothelial cell_NSc,VEGFC,ITGB1,1.0030683,0.0,0.8605256,0.1504874641080461,0.1330872077561535,0.25208113,0.89735556,0.0007012045969480267,0.007068138963608931,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.6214658,0.37402040931386354,1.3846709,0.5705331705332994,260.0,0.11970534069981584,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Endothelial,Endothelial
24,Endothelial cell_Sc,Endothelial cell_NSc,TGM2,ADGRG1,0.9755014,0.0,0.82001317,0.35317303993385835,0.669249465515089,0.83209413,0.89511335,9.150936710343335e-05,0.008256244381086497,Heart,Endothelial cells,Sc,Endothelial cells,NSc,1.3382545,0.7126909849468048,0.6127483,0.27324379324375025,283.0,0.13029465930018416,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Endothelial,Endothelial
26,Endothelial cell_Sc,Endothelial cell_NSc,HBEGF,CD9,0.93549573,0.0,0.55788755,0.09809847978205194,0.0830300356150172,0.23100872,0.8756088,0.0008716836729214214,0.010801750346857092,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.3722332,0.23854090319667956,1.4987582,0.5967114367116488,322.0,0.14825046040515655,HBEGF,Endothelial cell,0.2892920130439994,0.0457266543428806,Growth / angiogenesis / development,Endothelial,Endothelial
27,Endothelial cell_Sc,Endothelial cell_NSc,FN1,ITGA6,0.9019549,0.0,0.6764092,0.2068389928223629,0.6221463888172475,0.4478346,0.885726,0.00015081423839959573,0.01290158193460451,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.5316666,0.30021987934823674,1.2722431,0.5215140415140146,354.0,0.16275322283609575,FN1,Endothelial cell,0.7193246347168227,0.0082820296066004,ECM and remodeling,Endothelial,Endothelial
29,Endothelial cell_Sc,Endothelial cell_NSc,EDN1,ADGRL4,0.8913251,0.0,0.5832575,0.2309075675991076,0.6632541917234167,0.9070382,0.8780105,0.00010804225865723205,0.01356686866143956,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.43175685,0.2306477983875255,1.3508934,0.5592022792023721,366.0,0.1685082872928177,EDN1,Endothelial cell,0.585972687743679,0.0060085904359398,Growth / angiogenesis / development,Endothelial,Endothelial
30,Mural cell_Sc,Endothelial cell_NSc,VEGFA,ITGB1,0.8897099,1.0,0.54659736,-0.09979511853425177,-0.2656480247273054,0.10588603,0.8744911,0.059584881827480826,0.01373572973132531,Heart,Mural cells,Sc,Endothelial cells,NSc,0.39474896,0.21305668016194568,1.3846709,0.5705331705332994,369.0,0.16988950276243095,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Endothelial,Mesenchymal & Stromal
31,Endothelial cell_Sc,Endothelial cell_NSc,JAG1,NOTCH4,0.8865365,0.0,0.77076614,0.23465108145389033,0.6343911429594755,0.45706213,0.89217013,0.00010270488650347303,0.01396245733838062,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.76332635,0.4505271466426302,1.0097466,0.4284411884411096,372.0,0.1712707182320442,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Endothelial,Endothelial
33,Mural cell_Sc,Endothelial cell_NSc,JAG1,NOTCH4,0.86285627,0.0,0.72294414,0.20815095613478782,0.6333724649737325,0.21798769,0.8890502,0.0009909797506489676,0.015539963113973836,Heart,Mural cells,Sc,Endothelial cells,NSc,0.7159659,0.39245951417003383,1.0097466,0.4284411884411096,394.0,0.18139963167587478,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Endothelial,Mesenchymal & Stromal
34,Mural cell_Sc,Endothelial cell_NSc,THBS1,ITGA6,0.85929185,0.0,0.5678537,0.6038590143064796,1.06016425914035,0.40222383,0.87656987,0.00012475579120083062,0.015901637574047327,Heart,Mural cells,Sc,Endothelial cells,NSc,0.44634056,0.23507085020243232,1.2722431,0.5215140415140146,399.0,0.18370165745856354,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Endothelial,Mesenchymal & Stromal
38,Mural cell_Sc,Endothelial cell_NSc,PGF,NRP1,0.8270396,0.0,0.6760354,0.35422448515919785,0.5137518205190992,0.25306416,0.885698,0.0006971919915237243,0.018220899736182624,Heart,Mural cells,Sc,Endothelial cells,NSc,0.7378256,0.3873987854250949,0.9162537,0.3917297517296814,436.0,0.2007366482504604,PGF,Mural cell,0.3069447450051558,0.0430386421312196,Growth / angiogenesis / development,Endothelial,Mesenchymal & Stromal
42,Endothelial cell_Sc,Mural cell_NSc,EDN1,EDNRB,0.7819917,0.0,0.4888466,0.4829227390673533,0.8716403362194858,0.40476987,0.86823404,0.00012148368636087787,0.021456522321549883,Heart,Endothelial cells,Sc,Mural cells,NSc,0.43175685,0.2306477983875255,1.1322266,0.47448813779645266,480.0,0.22099447513812154,EDN1,Endothelial cell,0.585972687743679,0.0060085904359398,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
43,Mural cell_Sc,Mural cell_NSc,PGF,NRP1,0.7750424,0.0,0.5993056,0.30776055746524233,0.37580428045819264,0.22434147,0.8794567,0.0009323847842706763,0.022233892872449368,Heart,Mural cells,Sc,Mural cells,NSc,0.7378256,0.3873987854250949,0.81225926,0.35673274834791263,489.0,0.22513812154696133,PGF,Mural cell,0.3069447450051558,0.0430386421312196,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
45,Endothelial cell_Sc,Endothelial cell_NSc,JAG1,CD46,0.7130133,0.0,0.5058566,0.14325178141234648,0.22626829503621038,0.20346995,0.8701783,0.0011164104937579418,0.028206544414453326,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.76332635,0.4505271466426302,0.66270024,0.2942450142449664,563.0,0.25920810313075504,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Endothelial,Endothelial
49,Mural cell_Sc,Endothelial cell_NSc,JAG1,CD46,0.6893331,0.0,0.4744708,0.11675165609324398,0.2252496170504673,0.15155634,0.8665172,0.0017928429481392,0.031153424329055136,Heart,Mural cells,Sc,Endothelial cells,NSc,0.7159659,0.39245951417003383,0.66270024,0.2942450142449664,602.0,0.27716390423572745,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Endothelial,Mesenchymal & Stromal
53,Mural cell_Sc,Endothelial cell_NSc,VEGFA,NRP1,0.6555013,1.0,0.3616902,-0.02978568113135611,-0.05327592168624906,0.1213113,0.8500258,0.05361413651587753,0.035299671614585346,Heart,Mural cells,Sc,Endothelial cells,NSc,0.39474896,0.21305668016194568,0.9162537,0.3917297517296814,655.0,0.3013351749539595,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Endothelial,Mesenchymal & Stromal
61,Endothelial cell_Sc,Mural cell_NSc,TIMP2,CD44,0.6169765,0.0,0.35801464,0.5236695889127397,0.8221550044624516,0.2858837,0.8493736,0.0004939367495210685,0.04006902841482599,Heart,Endothelial cells,Sc,Mural cells,NSc,0.7674604,0.47375542650958075,0.46649265,0.20756147762973115,710.0,0.3266574585635359,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Mesenchymal & Stromal,Endothelial
63,Mural cell_Sc,Mural cell_NSc,VEGFA,NRP1,0.6035041,1.0,0.3206385,-0.07624960882531165,-0.19122346174715554,0.10754251,0.8421837,0.05880590274334931,0.042366873295365245,Heart,Mural cells,Sc,Mural cells,NSc,0.39474896,0.21305668016194568,0.81225926,0.35673274834791263,737.0,0.3393186003683241,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
64,Endothelial cell_Sc,Mural cell_NSc,JAG1,CD46,0.5928676,0.064,0.32243577,0.022871212134731256,-0.147064792648412,0.12969287,0.8425548,0.0022066363231475128,0.043735295861754946,Heart,Endothelial cells,Sc,Mural cells,NSc,0.76332635,0.4505271466426302,0.42240882,0.20095330950060086,749.0,0.34484346224677714,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Mesenchymal & Stromal,Endothelial
66,Endothelial cell_Sc,Endothelial cell_NSc,JAG1,NOTCH1,0.5766255,0.0,0.2976398,0.1657862446598433,0.3168818127877348,0.29737565,0.83717424,0.00045640690694977073,0.04643245684186394,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.76332635,0.4505271466426302,0.38992468,0.1766056166055959,779.0,0.35865561694290976,JAG1,Endothelial cell,0.4456069324382745,0.0030018180975873,Immune interface,Endothelial,Endothelial
67,Endothelial cell_Sc,Endothelial cell_NSc,FN1,ROBO4,0.5714119,0.0,0.3249319,0.16292386227527575,0.510083598155848,0.45043138,0.8430656,0.0003018990163952572,0.04765564800884822,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.5316666,0.30021987934823674,0.61115724,0.2694993894993474,787.0,0.36256906077348067,FN1,Endothelial cell,0.7193246347168227,0.0082820296066004,ECM and remodeling,Endothelial,Endothelial
68,Mural cell_Sc,Mural cell_NSc,JAG1,CD46,0.5691874,0.985,0.30243033,-0.003628913184371252,-0.14808347063415506,0.09660286,0.8382596,0.0028921009251030904,0.04796379589845778,Heart,Mural cells,Sc,Mural cells,NSc,0.7159659,0.39245951417003383,0.42240882,0.20095330950060086,791.0,0.3641804788213628,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Mesenchymal & Stromal,Mesenchymal & Stromal
70,Mural cell_Sc,Endothelial cell_NSc,JAG1,NOTCH1,0.5529453,0.0,0.27917278,0.13928611934074078,0.31586313480199174,0.17069058,0.8327613,0.0015175721885315446,0.05099075296745792,Heart,Mural cells,Sc,Endothelial cells,NSc,0.7159659,0.39245951417003383,0.38992468,0.1766056166055959,817.0,0.3763812154696133,JAG1,Mural cell,0.2707340465742469,0.0308820002796549,Immune interface,Endothelial,Mesenchymal & Stromal
75,Endothelial cell_Sc,Mural cell_NSc,TGM2,SDC4,0.7341904,0.0,0.17414212,0.315574556905663,0.3569643856398155,0.22056596,0.7972744,0.0009702946487675046,0.058203504361213736,Heart,Endothelial cells,Sc,Mural cells,NSc,1.3382545,0.7126909849468048,0.13012631,0.061369299100857026,887.0,0.408609576427256,TGM2,Endothelial cell,0.8416823985948448,3.463612536870221e-05,ECM and remodeling,Mesenchymal & Stromal,Endothelial
76,Mural cell_Sc,Endothelial cell_NSc,SLIT3,ROBO4,0.5105486,0.0,0.25053778,0.6108703099466744,0.8898428630966695,0.42728117,0.82508904,9.150936710343335e-05,0.05944906242065026,Heart,Mural cells,Sc,Endothelial cells,NSc,0.40993997,0.24114372469635967,0.61115724,0.2694993894993474,902.0,0.4150552486187845,SLIT3,Mural cell,0.5107634866224121,0.0019981335877161,Growth / angiogenesis / development,Endothelial,Mesenchymal & Stromal
77,Endothelial cell_Sc,Mural cell_NSc,FN1,CD44,0.4990796,0.0,0.24801855,0.44579832764233357,0.7644726070918989,0.21841379,0.82435864,0.0009857777684354413,0.0618611969714936,Heart,Endothelial cells,Sc,Mural cells,NSc,0.5316666,0.30021987934823674,0.46649265,0.20756147762973115,925.0,0.4258747697974217,FN1,Endothelial cell,0.7193246347168227,0.0082820296066004,ECM and remodeling,Mesenchymal & Stromal,Endothelial
80,Endothelial cell_Sc,Endothelial cell_NSc,HBEGF,CD82,0.47124508,0.0,0.21226858,0.21977168313271478,0.5808616156528852,0.68256116,0.81280434,0.00012641641117671184,0.06936557977355777,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.3722332,0.23854090319667956,0.57025695,0.248253968253931,1000.0,0.4604051565377532,HBEGF,Endothelial cell,0.2892920130439994,0.0457266543428806,Growth / angiogenesis / development,Endothelial,Endothelial
81,Endothelial cell_Sc,Mural cell_NSc,SELE,CD44,0.45852798,0.0,0.21018448,0.5458190484132277,1.0641003000829536,0.45007217,0.81205255,9.150936710343335e-05,0.07370699552277274,Heart,Endothelial cells,Sc,Mural cells,NSc,0.45056334,0.21333934712745195,0.46649265,0.20756147762973115,1042.0,0.47951197053406996,SELE,Endothelial cell,1.3985248610206444,6.182755822260609e-07,Immune interface,Mesenchymal & Stromal,Endothelial
82,Mural cell_Sc,Endothelial cell_NSc,ANGPTL1,TEK,0.45124418,0.0,0.19735202,0.47147631420365005,0.6971851020439965,0.3529702,0.8071978,0.00023730912388541934,0.07573232010964605,Heart,Mural cells,Sc,Endothelial cells,NSc,0.37206528,0.21685222672065027,0.5304231,0.23886039886036378,1060.0,0.48779926335174956,ANGPTL1,Mural cell,0.3999878491098468,0.0152454766790544,Growth / angiogenesis / development,Endothelial,Mesenchymal & Stromal
83,Endothelial cell_Sc,Mural cell_NSc,EDN1,EDNRA,0.43879518,0.0,0.19249167,0.5039668895223156,0.8196830574717562,0.40717152,0.8052499,0.00011722151813842032,0.0797286171835926,Heart,Endothelial cells,Sc,Mural cells,NSc,0.43175685,0.2306477983875255,0.4458335,0.21140721481963484,1103.0,0.5078268876611418,EDN1,Endothelial cell,0.585972687743679,0.0060085904359398,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
84,Endothelial cell_Sc,Endothelial cell_NSc,CCN2,ITGA5,0.43159285,0.0,0.17077945,0.10131969405192656,0.19984575671227017,0.51543796,0.79569405,0.000689218469565102,0.08143272172148285,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.5560635,0.3113266054011233,0.30712223,0.1409686609686485,1114.0,0.5126611418047882,CCN2,Endothelial cell,0.5353366404066119,0.0238713317104348,Growth / angiogenesis / development,Endothelial,Endothelial
85,Mural cell_Sc,Mural cell_NSc,VEGFA,CD44,0.4306208,0.0,0.18414749,0.323328725701067,0.5530625944593494,0.3451674,0.80175155,0.0002445271384245395,0.08169637188005699,Heart,Mural cells,Sc,Mural cells,NSc,0.39474896,0.21305668016194568,0.46649265,0.20756147762973115,1117.0,0.5142725598526704,VEGFA,Mural cell,1.1790603500736463,0.0001750598539799,Growth / angiogenesis / development,Mesenchymal & Stromal,Mesenchymal & Stromal
87,Mural cell_Sc,Endothelial cell_NSc,THBS1,CD47,0.42543346,0.0,0.1805565,0.48007854226411373,0.5464421288698359,0.2498033,0.80018187,0.0007174284721231174,0.08315346169899872,Heart,Mural cells,Sc,Endothelial cells,NSc,0.44634056,0.23507085020243232,0.40452632,0.18420838420836175,1132.0,0.5211786372007366,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Endothelial,Mesenchymal & Stromal
90,Endothelial cell_Sc,Mural cell_NSc,HBEGF,CD44,0.41936293,0.0,0.17364407,0.5070298571835157,0.8525030831646749,0.41222528,0.7970428,0.00011053591851511366,0.08556336619721075,Heart,Endothelial cells,Sc,Mural cells,NSc,0.3722332,0.23854090319667956,0.46649265,0.20756147762973115,1153.0,0.5310773480662984,HBEGF,Endothelial cell,0.2892920130439994,0.0457266543428806,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
91,Endothelial cell_Sc,Mural cell_NSc,VEGFC,FLT1,0.4130571,1.0,0.12718195,-0.24008917096418042,-0.8290915920489708,0.09651366,0.77069134,0.07574094704553413,0.08773209985129057,Heart,Endothelial cells,Sc,Mural cells,NSc,0.6214658,0.37402040931386354,0.20464835,0.09067273318167247,1168.0,0.5377532228360957,VEGFC,Endothelial cell,0.4161567652878245,0.0084265319176885,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
92,Endothelial cell_Sc,Mural cell_NSc,CCN2,LRP1,0.4129079,0.0,0.1499994,0.3477674398316972,0.5122088945178607,0.28547043,0.7849459,0.0004954845329012517,0.08786847612632237,Heart,Endothelial cells,Sc,Mural cells,NSc,0.5560635,0.3113266054011233,0.2697523,0.12403856570252704,1169.0,0.5382136279926335,CCN2,Endothelial cell,0.5353366404066119,0.0238713317104348,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
93,Mural cell_Sc,Mural cell_NSc,THBS1,CD47,0.41200027,0.0,0.16856496,0.4643618620269246,0.4744599105707462,0.23321277,0.79463106,0.0008459358193472223,0.08827818924917394,Heart,Mural cells,Sc,Mural cells,NSc,0.44634056,0.23507085020243232,0.37765998,0.17977467229986363,1172.0,0.539364640883978,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Mesenchymal & Stromal,Mesenchymal & Stromal
95,Endothelial cell_Sc,Mural cell_NSc,FN1,SDC2,0.40513885,0.0,0.14812824,0.39274173640049026,0.5606544490782036,0.20062302,0.7838845,0.0011539215178015029,0.09006370377600836,Heart,Endothelial cells,Sc,Mural cells,NSc,0.5316666,0.30021987934823674,0.27861115,0.13514245477196726,1190.0,0.5481123388581952,FN1,Endothelial cell,0.7193246347168227,0.0082820296066004,ECM and remodeling,Mesenchymal & Stromal,Endothelial
97,Mural cell_Sc,Mural cell_NSc,COL14A1,CD44,0.40468168,0.0,0.15994668,0.79726739821788,1.0746769439983523,0.867676,0.79031575,2.66985293916694e-07,0.09033985932710392,Heart,Mural cells,Sc,Mural cells,NSc,0.34287074,0.20091093117409098,0.46649265,0.20756147762973115,1193.0,0.5492633517495396,COL14A1,Mural cell,0.6095410788403423,0.0016354847732178,ECM and remodeling,Mesenchymal & Stromal,Mesenchymal & Stromal
100,Endothelial cell_Sc,Mural cell_NSc,TIMP2,ITGA3,0.45255104,0.0,0.10563453,0.2664472515066625,0.30143324245260894,0.22762032,0.75387776,0.0009052984946620703,0.09708358272312864,Heart,Endothelial cells,Sc,Mural cells,NSc,0.7674604,0.47375542650958075,0.13764167,0.07090239410681547,1242.0,0.5718232044198895,TIMP2,Endothelial cell,0.2856393012220364,0.030722018028764,ECM and remodeling,Mesenchymal & Stromal,Endothelial
102,Endothelial cell_Sc,Endothelial cell_NSc,CCN2,IGF2R,0.37565622,0.0,0.10857081,0.07821985144932757,0.03823017393459999,0.2009226,0.7564125,0.0011480899614676819,0.10331283551528733,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.5560635,0.3113266054011233,0.19524895,0.09100529100529006,1284.0,0.591390423572744,CCN2,Endothelial cell,0.5353366404066119,0.0238713317104348,Growth / angiogenesis / development,Endothelial,Endothelial
103,Endothelial cell_Sc,Mural cell_NSc,CCN2,IGF2R,0.37536258,0.0,0.10824426,0.07775630121032406,0.045597356066766126,0.20031829,0.7561349,0.0011597752613840202,0.10345980415522013,Heart,Endothelial cells,Sc,Mural cells,NSc,0.5560635,0.3113266054011233,0.1946617,0.0909977250568756,1286.0,0.5920810313075506,CCN2,Endothelial cell,0.5353366404066119,0.0238713317104348,Growth / angiogenesis / development,Mesenchymal & Stromal,Endothelial
104,Endothelial cell_Sc,Endothelial cell_NSc,FN1,PLAUR,0.36448145,0.0,0.10489587,0.1150923817188016,0.2226083818342101,0.28292504,0.7532262,0.000575890910910774,0.10926554917930656,Heart,Endothelial cells,Sc,Endothelial cells,NSc,0.5316666,0.30021987934823674,0.19729634,0.08924704924704871,1321.0,0.608195211786372,FN1,Endothelial cell,0.7193246347168227,0.0082820296066004,ECM and remodeling,Endothelial,Endothelial
106,Mural cell_Sc,Mural cell_NSc,THBS1,LRP1,0.3580464,0.0,0.12040139,0.7554133654671444,0.9917479154526481,0.7854676,0.76581424,9.295332351556977e-07,0.11336908557455613,Heart,Mural cells,Sc,Mural cells,NSc,0.44634056,0.23507085020243232,0.2697523,0.12403856570252704,1350.0,0.6217771639042358,THBS1,Mural cell,1.1094886384556055,7.299377187949904e-05,ECM and remodeling,Mesenchymal & Stromal,Mesenchymal & Stromal
107,Endothelial cell_Sc,Mural cell_NSc,SELE,GLG1,0.35735828,0.0,0.11901776,0.22270815754840184,0.4646117118061295,0.29593387,0.7647762,0.0004622628950723578,0.11367578051854166,Heart,Endothelial cells,Sc,Mural cells,NSc,0.45056334,0.21333934712745195,0.2641532,0.12685516195428748,1353.0,0.6226979742173112,SELE,Endothelial cell,1.3985248610206444,6.182755822260609e-07,Immune interface,Mesenchymal & Stromal,Endothelial
109,Mural cell_Sc,Mural cell_NSc,S100A4,EGFR,0.4466804,0.0,0.08655653,0.4397648259737978,0.6394317173700399,0.26483193,0.7349353,0.0005916618309948416,0.1147521525487471,Heart,Mural cells,Sc,Mural cells,NSc,0.78278583,0.35779352226720235,0.11057498,0.05454446972159132,1364.0,0.6279926335174953,S100A4,Mural cell,0.70054808179173,0.0084550126683205,Pro-inflammatory SASP,Mesenchymal & Stromal,Mesenchymal & Stromal
